
pl_name,pl_orbsmax,pl_rade,st_rad,sy_dist
GJ 180 d,0.309000,2.660,0.41,11.9407000
GJ 2030 b,0.034000,2.030,2.24,37.0788000
GJ 2030 c,16.761000,12.300,2.24,37.0788000
GJ 2056 b,0.283000,4.170,0.71,28.4434000
GJ 229 A c,0.384000,2.870,0.46,5.7562400
GJ 229 b,1.086000,3.970,0.46,5.7562400
GJ 238 b,0.021230,0.566,0.43,15.2142000
GJ 251 b,0.081800,1.830,0.36,5.5805700
GJ 27.1 b,0.101000,3.660,0.52,23.6062000
GJ 273 b,0.091101,1.510,0.29,5.9215350
GJ 273 c,0.036467,1.060,0.29,5.9215350
GJ 3021 b,0.490000,13.100,0.90,17.5559000
GJ 3082 b,0.079000,2.790,0.47,16.6186000
GJ 3090 b,0.031650,2.130,0.52,22.4751000
GJ 3138 b,0.019700,1.180,0.50,28.4712000
GJ 3138 c,0.057000,1.880,0.50,28.4712000
GJ 3138 d,0.698000,3.230,0.50,28.4712000
GJ 317 b,1.151000,13.300,0.43,15.1968000
GJ 317 c,5.230000,13.500,0.43,15.1968000
GJ 3222 b,0.091000,3.400,0.93,18.2381700
GJ 328 b,4.110000,13.300,0.63,20.5266000
GJ 328 c,0.657000,4.910,0.63,20.5266000
GJ 3293 b,0.143390,5.190,0.40,20.1903000
GJ 3293 c,0.361750,4.870,0.40,20.1903000
GJ 3293 d,0.193940,2.670,0.40,20.1903000
GJ 3293 e,0.082080,1.630,0.40,20.1903000
GJ 3323 b,0.032820,1.230,0.12,5.3748400
GJ 3323 c,0.126400,1.320,0.12,5.3748400
GJ 3341 b,0.089000,2.460,0.44,23.6190000
GJ 338 B b,0.142000,3.250,0.58,6.3325600
GJ 3470 b,0.035500,4.570,0.55,29.4214000
GJ 3473 b,0.015890,1.264,0.36,27.3644000
GJ 3473 c,0.087600,2.630,0.36,27.3644000
GJ 3512 b,0.337000,14.300,0.14,9.4863700
GJ 3512 c,1.292000,9.320,0.14,9.4863700
GJ 357 b,0.036000,1.200,0.34,9.4418100
GJ 357 c,0.061000,1.660,0.34,9.4418100
GJ 357 d,0.204000,2.340,0.34,9.4418100
GJ 3634 b,0.028700,2.830,0.43,20.3779000
GJ 367 b,0.007090,0.699,0.46,9.4126300
GJ 367 c,,1.860,0.46,9.4126300
GJ 367 d,,2.330,0.46,9.4126300
GJ 3779 b,0.026000,2.750,0.28,13.7430000
